name,image,team,batting_style,bowling_style,playing_role,description
Yasir Ali,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_960/lsci/db/PICTURES/CMS/208900/208935.jpg",Bangladesh,Right hand Bat,Right arm Offbreak,Middle order Batter,
Mosaddek Hossain,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_960/lsci/db/PICTURES/CMS/349800/349891.jpg",Bangladesh,Right hand Bat,Right arm Offbreak,Middle order Batter,"Mosaddek Hossain, who comes from a family of cricketers, snuck up on Bangladesh cricket's consciousness during the 2013 Dhaka Premier Division Cricket League, helping Abahani Limited stay afloat in a disastrous campaign. He struck a century and three fifties, before having to head to the Bangladesh Under-19 training camp ahead of the 2014 World Cup in the UAE. The opportunity to get out of age-group cricket quite early proved to be an important milestone in his development. "
Muhammad Waseem,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_960/lsci/db/PICTURES/CMS/365800/365849.jpg",U.A.E.,Right hand Bat,Right arm Medium,Opening Batter,
Josh Davey,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_960/lsci/db/PICTURES/CMS/360300/360300.jpg",Scotland,Right hand Bat,Right arm Medium fast,Bowler,"Josh Davey's seam-bowling talent was recognised when Middlesex gave him his county debut at the age of 19. But, although he was involved with the county for four years, the seam-bowling allrounder failed to push on, and he was released at the end of 2013 and moved west to Somerset. "
Temba Bavuma,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_960/lsci/db/PICTURES/CMS/190800/190841.jpg",South Africa,Right hand Bat,Right arm Medium,Middle order Batter,"From the same street in Langa, a township outside Cape Town, where Thami Tsolekile and Malusi Siboto were raised, came Temba Bavuma. Unlike the wicketkeeper-batsman and medium-pacer, Bavuma is a specialist batsman and the first black African batsman picked in South Africa's Test squad. "
Quinton de Kock,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_960/lsci/db/PICTURES/CMS/191900/191923.jpg",South Africa,Left hand Bat,,Wicketkeeper Batter,"Quinton de Kock's fearless striking and handy glovework earned him comparisons to greats of the game like Adam Gilchrist and Mark Boucher early in his career. By 21, he shared the record for the most successive ODI centuries - three - before it was bettered by Kumar Sangakkara. A year later, he had established himself in all three formats for South Africa. "
Pat Cummins,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_960/lsci/db/PICTURES/CMS/149500/149548.3.jpg",Australia,Right hand Bat,Right arm Fast,Bowler,"Earmarked as a potential star from a young age, Pat Cummins made his Test debut as an 18-year-old but had to wait six years for his next appearance as injuries struck a body that could not withstand the workload. The bowler who emerged in 2017 was a thoroughbred quick who became one of the standout players in the world and, in late 2021, Australia's Test captain in dramatic circumstances."
Darwish Rasooli,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_960/lsci/db/PICTURES/CMS/272800/272897.png",Afghanistan,Right hand Bat,Right arm Offbreak,Top order Batter,
Tim Pringle,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_960/lsci/db/PICTURES/CMS/348200/348286.jpg",Netherlands,Right hand Bat,Slow Left arm Orthodox,Allrounder,
Vikramjit Singh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_960/lsci/db/PICTURES/CMS/363200/363292.jpg",Netherlands,Left hand Bat,Right arm Medium,Opening Batter,
Charith Asalanka,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_960/lsci/db/PICTURES/CMS/367200/367256.jpg",Sri Lanka,Left hand Bat,Right arm Offbreak,Batting Allrounder,
Barry McCarthy,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_960/lsci/db/PICTURES/CMS/367600/367678.jpg",Ireland,Right hand Bat,Right arm Fast medium,Bowler,"Barry McCarthy is an Ireland seam bowler whose involvement with Durham owed much to a recommendation by their England allrounder, Ben Stokes, who faced him in the nets before a one-day international and advised his county to take a look. Durham did just that and McCarthy made his first-class debut in 2015. A maiden five-wicket haul for Durham against Lancashire in Chester-le-Street the following year added to the good impression he had built at Ireland Under-19 level and during a spell with the Australian grade side Randwick-Petersham. "
Naseem Shah,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_960/lsci/db/PICTURES/CMS/367000/367043.jpg",Pakistan,Right hand Bat,Right arm Fast,Bowler,"Zarai Taraqiati Bank Limited may not be an esteemed name in Pakistan cricket, but it was for this deparment that Naseem Shah made his first-class debut at 15. With a natural, whippy action that generated easy pace, he immediately stood out even in that most competitive of fields - Pakistani fast bowling. A year later, he was making his Pakistan debut in Brisbane, though not before adversity touched him; he would lose his mother just before he received his first Pakistan cap. "
Litton Das,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_960/lsci/db/PICTURES/CMS/148800/148887.jpg",Bangladesh,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,Liton Das is the first wicketkeeper-batsman in Bangladesh considered good enough to be a long-term successor to Mushfiqur Rahim. His domestic exploits for Abahani in the Dhaka Premier League and Rangpur Division in the National Cricket League in the 2014-15 season earned him recognition and later a call-up in the senior side for the Test against India in Fatullah in June 2015.
Mitchell Santner,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_960/lsci/db/PICTURES/CMS/236900/236937.jpg",New Zealand,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,"A left-handed batsman and left-arm spinner, Mitchell Santner was first elevated to the New Zealand side after a promising 2014-15 domestic season. "
Ashton Agar,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_960/lsci/db/PICTURES/CMS/163000/163021.jpg",Australia,Left hand Bat,Slow Left arm Orthodox,Bowler,"Ashton Agar initially turned almost as many heads as he has turned cricket balls. At the age of 19 he had a place in the squads of Western Australia, Perth Scorchers, and the national team, having sensationally been upgraded from an internship on the 2013 tour of India to a more expansive role in Michael Clarke's squad. "
Nasum Ahmed,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_960/lsci/db/PICTURES/CMS/367300/367301.jpg",Bangladesh,Left hand Bat,Slow Left arm Orthodox,Bowler,
Maheesh Theekshana,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_960/lsci/db/PICTURES/CMS/366900/366946.jpg",Sri Lanka,Right hand Bat,Right arm Offbreak,Bowler,
Blessing Muzarabani,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_960/lsci/db/PICTURES/CMS/363000/363027.jpg",Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler,
Wessly Madhevere,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_960/lsci/db/PICTURES/CMS/363300/363345.jpg",Zimbabwe,Right hand Bat,Right arm Offbreak,Allrounder,
Shamarh Brooks,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_960/lsci/db/PICTURES/CMS/366400/366408.jpg",West Indies,Right hand Bat,Legbreak,Top order Batter,"In full flow, Shamarh Brooks is all elegance. He drives mercilessly through the off side and often finishes his flicks standing on one leg. But it took four innings in Tests before these skills were visible."
Logan van Beek,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_960/lsci/db/PICTURES/CMS/364800/364804.jpg",Netherlands,Right hand Bat,Right arm Medium fast,Bowler,"Logan van Beek is an allrounder in more ways than one. As a cricketer, he compares his play to that of Shane Watson, he also represented New Zealand at the World Under-19 Basketball Championships in 2009, and he works as a sports coach. Named in the New Zealand squad for the Under-19 World Cup in 2010, van Beek is the grandson of Sammy Guillen, who played Test cricket for both West Indies and New Zealand.Cricinfo staff January 2010"
Suryakumar Yadav,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_960/lsci/db/PICTURES/CMS/184400/184411.3.jpg",India,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter,"Hard-hitting 360-degree batter Suryakumar Yadav has all the shots, including a few not in any textbook save the one written by AB de Villiers. he also has a yen for making batting look easy, as he showed during four golden years with Mumbai Indians starting in 2018, during which they won the IPL title twice, thanks in no small part to his 1700-plus runs at a strike rate of around 140."
Naveen-ul-Haq,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_960/lsci/db/PICTURES/CMS/360500/360574.jpg",Afghanistan,Right hand Bat,Right arm Medium fast,Bowler,
Akeal Hosein,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_960/lsci/db/PICTURES/CMS/194700/194781.jpg",West Indies,Left hand Bat,Slow Left arm Orthodox,Bowler,"Akeal Hosein was handed a chance to impress for West Indies in Bangladesh in early 2021 after several senior players opted out of the tour, but his opportunity had been a long time coming. "
Regis Chakabva,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_960/lsci/db/PICTURES/CMS/348300/348326.jpg",Zimbabwe,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"A doughty wicketkeeper-batter, Regis Chakabva came up in Zimbabwe cricket through Highfields, Churchill, on to Takashinga, provincial cricket, and eventually, regular appearances in the national teams. "
Cameron Green,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_960/lsci/db/PICTURES/CMS/367800/367882.jpg",Australia,Right hand Bat,Right arm Fast medium,Batting Allrounder,"Cameron Green was earmarked as an international cricket from very early. Contracted to Western Australia as a schoolboy, he took 5 for 24 on first-class debut against Tasmania in February 2017 as a 17-year-old. He was selected initially for his bowling given his 200cm frame and his ability to deliver fast outswing but was plagued by stress fractures. However, throughout his junior days with Subiaco-Floreat and WA's junior teams his technically sound batting and an unquenchable thirst for scoring runs saw him emerge as a genuine allrounder of rare ability. "
